ID,label,Unnamed: 2
ur50d7,Ayam Goreng,
wjlt7p,Pempek,
qvhmed,Rawon,
jyadxi,Ayam Bakar,
cl44xn,Ayam Bakar,
9zbid0,Nasi Goreng,
kcal60,Bakso,
tccnln,Nasi Goreng,
qoodju,Ayam Goreng,
7xo2s9,Soto,
lc6t8c,Soto,
0jw2ht,Soto,
smpcp8,Nasi Goreng,
2gkvxq,Nasi Goreng,
0p5017,Soto,
egwn1m,Rawon,
ek8bc5,Nasi Goreng,
pwmavb,Soto,
x4tqp6,Sate Madura,
ljwlzv,Ayam Goreng,
avw9wf,Rawon,
l7zljw,Rawon,
obevyk,Pempek,
5bezos,Ayam Bakar,
4xa97b,Nasi Goreng,
bgn885,Rendang,
boxwzk,Soto,
h04xef,Rawon,
nzyl10,Bakso,
9kcihl,Gado Gado,
0tzc38,Ayam Pop,
5xq3c0,Sate Madura,
i7m1iw,Ayam Bakar,
073u7f,Sate Madura,
dumw9q,Ayam Betutu,putih
4cly0r,Gudeg,
2fjfpt,Ayam Pop,
0i0hf5,Pempek,
2cklyo,Rendang,
0q79r9,Bakso,
unt5zf,Coto Makassar,
bizwb6,Ayam Pop,
ysb1qx,Rendang,
vasme9,Gudeg,
ezws7u,Ayam Betutu,
lc1frs,Ayam Bakar,
qpdr9d,Rawon,
t3fjnn,Gudeg,
xu5n8a,Pempek,
798kz8,Ayam Pop,putih
gtukex,Sate Padang,
eugt6l,Sate Madura,
e9szec,Ayam Pop,
axniw7,Bakso,
ieu19y,Pempek,putih
zkxdrp,Rendang,
fhswdc,Bakso,
jkvcpt,Nasi Goreng,
5koy6m,Rendang,
x8zdzf,Ayam Goreng,
21xjlx,Bakso,
89kb7n,Ayam Goreng,
jko637,Ayam Betutu,
3v2l36,Ayam Bakar,
vk6x22,Ayam Goreng,
b9q00q,Sate Padang,
qe7wpb,Rendang,
ufxvv9,Sate Padang,
u57jss,Ayam Pop,
eczyph,Gado Gado,
ghqr4c,Gado Gado,
yuuc7f,Ayam Betutu,
odz928,Ayam Pop,
p8b3lm,Soto,
65nifo,Pempek,
gvlcxh,Ayam Goreng,
yoxeuy,Pempek,
bmj809,Coto Makassar,
rh24q2,Sate Madura,
42kg3d,Gado Gado,
0x2t1e,Sate Madura,
xgsf3n,Sate Madura,
wcyzmw,Pempek,
blxehh,Gudeg,
4x0wjg,Soto,
sqdyp3,Ayam Goreng,
hq6p72,Ayam Betutu,
ylc0hz,Ayam Pop,
axfrj9,Coto Makassar,
h0icyc,Pempek,
t5qax1,Pempek,
gdl2m4,Ayam Bakar,
tshgb1,Rendang,
kkkjec,Ayam Bakar,
541ail,Ayam Pop,
derazq,Ayam Goreng,
8v0433,Ayam Pop,
0rvhyl,Soto,
9qua46,Coto Makassar,
dqzrfh,Bakso,
xk1s0i,Bakso,
kd6fip,Sate Madura,
l6tabn,Nasi Goreng,
h50n0h,Gudeg,
e1ie7a,Rawon,
3o68jo,Sate Madura,
4427yo,Nasi Goreng,
bdjzqt,Ayam Bakar,
vyu4s1,Gudeg,
83smr3,Ayam Pop,
eez927,Gudeg,Putih
4u5m2l,Nasi Goreng,
b95ka6,Rawon,Putih
8n50lr,Soto,
lra4fw,Ayam Bakar,
abcwg2,Ayam Pop,
3kuv04,Coto Makassar,
rovz0e,Sate Madura,
0ulszd,Sate Padang,
x6wbt7,Sate Padang,
y2rvn6,Gudeg,Putih
qpsled,Coto Makassar,
ztaz8z,Ayam Bakar,
x51gvz,Rawon,
4k6bsb,Bakso,
fy0t59,Rendang,
otixar,Gado Gado,
x0rsln,Sate Padang,
5wbr1n,Bakso,
nxkiat,Ayam Goreng,Putih
l0xz3s,Ayam Bakar,
lltrjr,Ayam Betutu,
wjsu4p,Rawon,
lrud0n,Nasi Goreng,
1cweth,Bakso,
90k5x1,Bakso,
jqyrgx,Sate Madura,
7gwsde,Gudeg,
e60gxg,Ayam Goreng,
5p0yu7,Sate Padang,
tyw2rm,Rawon,
1m5yje,Bakso,
htb2kj,Coto Makassar,
q04nqz,Pempek,
btsqo8,Sate Madura,
4hmrfs,Sate Madura,
qqrm95,Ayam Goreng,
t0bbdy,Rawon,
hd8xkc,Sate Padang,
4f3d2l,Nasi Goreng,
ie3mp6,Bakso,
ocwltp,Sate Padang,
y6aqag,Sate Madura,
6ktpj1,Gudeg,Putih
j6lbma,Bakso,
3a2qvl,Nasi Goreng,
dm9b0y,Pempek,
0lno3u,Pempek,
3amnqa,Sate Madura,
vt92ep,Ayam Betutu,
d55zjp,Soto,
r88q6g,Ayam Betutu,
x4o9tp,Rawon,
k68gfn,Soto,
duzlp7,Coto Makassar,
o0kzw4,Bakso,
bz8f34,Ayam Goreng,
w6y0db,Ayam Pop,
1dqt6p,Rawon,
0vnlom,Coto Makassar,
h0plhm,Soto,
b7ierz,Rendang,
mwtr04,Gudeg,
wi6m5s,Pempek,
o0xm7f,Bakso,
9xvfpi,Sate Madura,
dd4o6r,Sate Padang,
on0575,Bakso,
74a2hv,Gado Gado,
u7fuzh,Rawon,
lpf2ce,Nasi Goreng,
v85wyd,Bakso,
zorsx3,Nasi Goreng,
nxckwv,Ayam Goreng,
t6vtgn,Ayam Bakar,
zhsjnj,Gado Gado,
j6jy3n,Soto,
pwis1w,Gado Gado,
uaiuyk,Gudeg,putih
g3p5t6,Ayam Bakar,
gfftty,Rawon,
gah35p,Sate Padang,
5iz2fr,Sate Madura,
03d7zh,Ayam Betutu,
mhsvvv,Rawon,
nb61pd,Ayam Bakar,
yhi8ad,Ayam Betutu,
f4cpaz,Ayam Goreng,
0azrdk,Ayam Betutu,
yidsh5,Sate Madura,
c72bt7,Nasi Goreng,
6f6c41,Ayam Betutu,
nupyyf,Ayam Bakar,
